"PassengerId","Survived"
892,"1"
893,"1"
894,"1"
895,"1"
896,"1"
897,"1"
898,"1"
899,"1"
900,"1"
901,"1"
902,"1"
903,"1"
904,"0"
905,"1"
906,"0"
907,"0"
908,"1"
909,"1"
910,"1"
911,"1"
912,"1"
913,"0"
914,"0"
915,"1"
916,"0"
917,"1"
918,"0"
919,"1"
920,"1"
921,"1"
922,"1"
923,"1"
924,"1"
925,"1"
926,"1"
927,"1"
928,"1"
929,"1"
930,"1"
931,"1"
932,"1"
933,"1"
934,"1"
935,"0"
936,"0"
937,"1"
938,"1"
939,"1"
940,"0"
941,"1"
942,"1"
943,"1"
944,"0"
945,"0"
946,"1"
947,"1"
948,"1"
949,"1"
950,"1"
951,"0"
952,"1"
953,"1"
954,"1"
955,"1"
956,"0"
957,"0"
958,"1"
959,"1"
960,"1"
961,"0"
962,"1"
963,"1"
964,"1"
965,"1"
966,"0"
967,"1"
968,"1"
969,"0"
970,"1"
971,"1"
972,"0"
973,"1"
974,"1"
975,"1"
976,"1"
977,"1"
978,"1"
979,"1"
980,"1"
981,"0"
982,"1"
983,"1"
984,"0"
985,"1"
986,"1"
987,"1"
988,"0"
989,"1"
990,"1"
991,"1"
992,"0"
993,"1"
994,"1"
995,"1"
996,"0"
997,"1"
998,"1"
999,"1"
1000,"1"
1001,"0"
1002,"1"
1003,"1"
1004,"0"
1005,"1"
1006,"0"
1007,"0"
1008,"1"
1009,"1"
1010,"1"
1011,"0"
1012,"0"
1013,"1"
1014,"0"
1015,"1"
1016,"1"
1017,"1"
1018,"1"
1019,"1"
1020,"1"
1021,"1"
1022,"1"
1023,"1"
1024,"1"
1025,"1"
1026,"1"
1027,"1"
1028,"1"
1029,"1"
1030,"1"
1031,"1"
1032,"1"
1033,"0"
1034,"1"
1035,"1"
1036,"1"
1037,"1"
1038,"1"
1039,"0"
1040,"1"
1041,"1"
1042,"0"
1043,"1"
1044,"1"
1045,"1"
1046,"1"
1047,"1"
1048,"0"
1049,"1"
1050,"1"
1051,"1"
1052,"1"
1053,"0"
1054,"0"
1055,"1"
1056,"1"
1057,"1"
1058,"1"
1059,"0"
1060,"0"
1061,"1"
1062,"0"
1063,"1"
1064,"0"
1065,"1"
1066,"1"
1067,"0"
1068,"0"
1069,"1"
1070,"0"
1071,"0"
1072,"1"
1073,"1"
1074,"0"
1075,"1"
1076,"0"
1077,"1"
1078,"0"
1079,"0"
1080,"1"
1081,"1"
1082,"1"
1083,"1"
1084,"0"
1085,"1"
1086,"0"
1087,"1"
1088,"0"
1089,"1"
1090,"0"
1091,"1"
1092,"1"
1093,"0"
1094,"1"
1095,"0"
1096,"0"
1097,"1"
1098,"1"
1099,"0"
1100,"0"
1101,"0"
1102,"1"
1103,"0"
1104,"0"
1105,"0"
1106,"1"
1107,"1"
1108,"1"
1109,"1"
1110,"0"
1111,"0"
1112,"0"
1113,"0"
1114,"0"
1115,"0"
1116,"0"
1117,"0"
1118,"0"
1119,"1"
1120,"1"
1121,"1"
1122,"0"
1123,"0"
1124,"0"
1125,"0"
1126,"1"
1127,"0"
1128,"1"
1129,"0"
1130,"0"
1131,"0"
1132,"0"
1133,"0"
1134,"1"
1135,"0"
1136,"0"
1137,"1"
1138,"0"
1139,"1"
1140,"0"
1141,"1"
1142,"0"
1143,"0"
1144,"0"
1145,"0"
1146,"1"
1147,"0"
1148,"1"
1149,"0"
1150,"0"
1151,"0"
1152,"1"
1153,"0"
1154,"0"
1155,"1"
1156,"0"
1157,"0"
1158,"0"
1159,"0"
1160,"1"
1161,"0"
1162,"1"
1163,"1"
1164,"0"
1165,"1"
1166,"0"
1167,"0"
1168,"0"
1169,"1"
1170,"0"
1171,"0"
1172,"1"
1173,"0"
1174,"1"
1175,"0"
1176,"1"
1177,"1"
1178,"0"
1179,"0"
1180,"0"
1181,"0"
1182,"1"
1183,"1"
1184,"0"
1185,"1"
1186,"1"
1187,"0"
1188,"0"
1189,"0"
1190,"0"
1191,"0"
1192,"0"
1193,"0"
1194,"1"
1195,"0"
1196,"1"
1197,"0"
1198,"0"
1199,"0"
1200,"1"
1201,"1"
1202,"0"
1203,"0"
1204,"0"
1205,"1"
1206,"0"
1207,"1"
1208,"1"
1209,"0"
1210,"0"
1211,"0"
1212,"0"
1213,"0"
1214,"0"
1215,"0"
1216,"0"
1217,"0"
1218,"0"
1219,"1"
1220,"0"
1221,"0"
1222,"0"
1223,"1"
1224,"0"
1225,"0"
1226,"0"
1227,"0"
1228,"0"
1229,"1"
1230,"0"
1231,"0"
1232,"0"
1233,"0"
1234,"0"
1235,"0"
1236,"0"
1237,"1"
1238,"0"
1239,"1"
1240,"0"
1241,"0"
1242,"0"
1243,"0"
1244,"0"
1245,"1"
1246,"1"
1247,"1"
1248,"0"
1249,"0"
1250,"1"
1251,"1"
1252,"0"
1253,"0"
1254,"0"
1255,"0"
1256,"0"
1257,"1"
1258,"0"
1259,"1"
1260,"0"
1261,"0"
1262,"0"
1263,"0"
1264,"1"
1265,"1"
1266,"0"
1267,"0"
1268,"1"
1269,"0"
1270,"1"
1271,"1"
1272,"1"
1273,"0"
1274,"1"
